,,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Present
,Fully Stocked,Inventory,Inventory,Inventory,Inventory,Inventory,Inventory,Inventory,Inventory
Kitchen Products,,,,,,,,,
Dish Soap,20,20,10,5,5,0,0,5,20
Dishwasher Soap,15,5,5,10,5,5,0,0,5
Scouring Pads,20,15,10,5,5,0,0,0,0
Window Cleaner,20,20,10,0,5,15,0,20,5
Paper Towels,20,15,5,20,10,10,5,0,20
Trash Bags,20,20,15,0,5,10,15,5,10
Bathroom Products,,,,,,,,,
Toothpaste,20,15,10,0,5,10,0,5,20
Mouthwash,20,10,10,5,0,5,10,10,5
Hand Soap,20,20,10,15,0,5,5,20,15
Shampoo,20,15,10,0,0,10,0,5,5
Hand Lotion,20,10,15,20,0,0,10,10,5
Toilet Paper,20,20,10,5,5,20,10,5,15
Cleaning Solvent,15,15,15,15,15,15,15,15,15
OTC Medicines,,,,,,,,,
Asprin,20,20,15,10,0,0,10,5,5
Vitamins,20,10,0,10,10,10,5,10,0
Antacid,20,15,5,5,0,5,0,10,5
Laxatives,10,10,5,10,10,5,0,0,0
Motion Sickness,10,10,5,5,0,5,5,10,5
Office Products,,,,,,,,,
Pens,20,10,10,5,15,5,10,10,5
Ink Refills,10,5,10,0,5,5,5,0,0
Pencils ,20,20,20,20,20,20,20,20,20
Notebooks,15,15,10,0,10,15,10,5,15
Paper,15,15,15,10,5,15,10,5,0
Staplers,10,5,5,10,5,10,5,0,10
Paper Clips,10,5,5,0,5,0,5,10,10
